strain	taxonomyId	accession	isRef	level	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	tolId	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelDomainId	taxonomicLevelRealmId	taxonomicLevelKingdomId	taxonomicLevelPhylumId	taxonomicLevelClassId	taxonomicLevelOrderId	taxonomicLevelFamilyId	taxonomicLevelGenusId	taxonomicLevelSpeciesId	commonName	ucscBrowser	geneModelUrl
	153643	GCA_009769605.1	True	Chromosome	41.0	1132597561	112	40274051	9	66	43.5			Bucorvus abyssinicus	153643	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073808,3073810,57379,153640,153641,153643	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Bucerotiformes	Bucorvidae	Bucorvus	Bucorvus abyssinicus	2759		33208	7711	8782	57379	153640	153641	153643			https://hgdownload.soe.ucsc.edu/hubs/GCA/009/769/605/GCA_009769605.1/genes/GCA_009769605.1_bBucAby1.pri.augustus.gtf.gz
	57421	GCA_009819595.1	False	Chromosome	36.0	1149337515	108	49132790	9	60.12	43.0			Merops nubicus	57421	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073808,3073810,8936,57386,57420,57421	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Coraciiformes	Meropidae	Merops	Merops nubicus	2759		33208	7711	8782	8936	57386	57420	57421			https://hgdownload.soe.ucsc.edu/hubs/GCA/009/819/595/GCA_009819595.1/genes/GCA_009819595.1_bMerNub1.pri.augustus.gtf.gz
	108405	GCA_009819605.1	True	Chromosome	27.0	1229953488	122	85487239	5	67.91	43.0			Sterna hirundo	108405	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,8906,8910,70608,108405	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Charadriiformes	Laridae	Sterna	Sterna hirundo	2759		33208	7711	8782	8906	8910	70608	108405	Flussseeschwalbe		https://hgdownload.soe.ucsc.edu/hubs/GCA/009/819/605/GCA_009819605.1/genes/GCA_009819605.1_bSteHir1.pri.augustus.gtf.gz
	9218	GCA_009819775.1	True	Chromosome	33.0	1246226932	90	85472901	5	61.27	43.5			Phoenicopterus ruber	9217	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073803,9214,9215,9216,9217,9218	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Phoenicopteriformes	Phoenicopteridae	Phoenicopterus	Phoenicopterus ruber	2759		33208	7711	8782	9214	9215	9216	9217			https://hgdownload.soe.ucsc.edu/hubs/GCA/009/819/775/GCA_009819775.1/genes/GCA_009819775.1_bPhoRub2.pri.augustus.gtf.gz
	54380	GCA_009819825.1	False	Chromosome	52.0	1215224075	109	30176635	14	50.93	42.0			Cariama cristata	54380	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073808,3073809,1956187,54378,54379,54380	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Cariamiformes	Cariamidae	Cariama	Cariama cristata	2759		33208	7711	8782	1956187	54378	54379	54380			https://hgdownload.soe.ucsc.edu/hubs/GCA/009/819/825/GCA_009819825.1/genes/GCA_009819825.1_bCarCri1.pri.augustus.gtf.gz
	9606	GCA_009914755.4	False	Complete Genome	24.0	3117275501	24	150617247	9	30	41.0		GCF_009914755.1	Homo sapiens	9606	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314146,9443,376913,314293,9526,314295,9604,207598,9605,9606	Mammalia	m	Eukaryota		Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	2759		33208	7711	40674	9443	9604	9605	9606			https://hgdownload.soe.ucsc.edu/hubs/GCA/009/914/755/GCA_009914755.4/genes/GCF_009914755.1_T2T-CHM13v2.0.110.20220412.ncbiRefSeq.gtf.gz
	100784	GCA_011004875.1	False	Chromosome	37.0	1221032548	104	82577926	5	59.56	42.5			Balearica regulorum	925459	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,9108,9109,30413,925459,100784	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Gruiformes	Gruidae	Balearica	Balearica regulorum	2759		33208	7711	8782	9108	9109	30413	925459			https://hgdownload.soe.ucsc.edu/hubs/GCA/011/004/875/GCA_011004875.1/genes/GCA_011004875.1_bBalReg1.pri.augustus.gtf.gz
	9483	GCA_011078405.1	False	Chromosome	23.0	2811151840	216	146897247	8	63.44	41.0			Callithrix jacchus	9483	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314146,9443,376913,314293,9479,9498,9480,9481,1965096,9483	Mammalia	m	Eukaryota		Metazoa	Chordata	Mammalia	Primates	Cebidae	Callithrix	Callithrix jacchus	2759		33208	7711	40674	9443	9498	9481	9483	white ear-tufted marmoset		https://hgdownload.soe.ucsc.edu/hubs/GCA/011/078/405/GCA_011078405.1/genes/GCA_011078405.1_mCalJac1.mat.augustus.gtf.gz
	9483	GCA_011100555.2	True	Chromosome	24.0	2874864526	1233	136971485	9	63.44	41.0		GCF_011100555.1	Callithrix jacchus	9483	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314146,9443,376913,314293,9479,9498,9480,9481,1965096,9483	Mammalia	m	Eukaryota		Metazoa	Chordata	Mammalia	Primates	Cebidae	Callithrix	Callithrix jacchus	2759		33208	7711	40674	9443	9498	9481	9483	white ear-tufted marmoset		https://hgdownload.soe.ucsc.edu/hubs/GCA/011/100/555/GCA_011100555.2/genes/GCA_011100555.2_mCalJa1.2.pat.X.augustus.gtf.gz
	61156	GCA_011762505.3	True	Chromosome	32.0	2496761438	1595	82689117	11	60.95	41.5			Arvicanthis niloticus	61156	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314146,314147,9989,1963758,337687,10066,39107,61153,61156	Mammalia	m	Eukaryota		Metazoa	Chordata	Mammalia	Rodentia	Muridae	Arvicanthis	Arvicanthis niloticus	2759		33208	7711	40674	9989	10066	61153	61156	African grass rat		https://hgdownload.soe.ucsc.edu/hubs/GCA/011/762/505/GCA_011762505.3/genes/GCA_011762505.3_mArvNil1.pat.X.augustus.gtf.gz
	9739	GCA_011762515.1	False	Scaffold		2378995196	1166	87973674	11	63.7	41.5			Tursiops truncatus	9739	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314145,91561,2653789,9721,9722,9726,9738,9739	Mammalia	m	Eukaryota		Metazoa	Chordata	Mammalia	Artiodactyla	Delphinidae	Tursiops	Tursiops truncatus	2759		33208	7711	40674	91561	9726	9738	9739	bottle-nosed dolphin		https://hgdownload.soe.ucsc.edu/hubs/GCA/011/762/515/GCA_011762515.1/genes/GCA_011762515.1_mTurTru1.pat.augustus.gtf.gz
	13146	GCA_012275275.1	False	Scaffold		1124753724	330	99198005	4	61.11	42.0			Melopsittacus undulatus	13146	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073808,3073809,9223,1545690,13145,13146	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Psittaciformes	Psittaculidae	Melopsittacus	Melopsittacus undulatus	2759		33208	7711	8782	9223	1545690	13145	13146			https://hgdownload.soe.ucsc.edu/hubs/GCA/012/275/275/GCA_012275275.1/genes/GCA_012275275.1_bMelUnd1.pat.augustus.gtf.gz
	882753	GCA_013358685.1	True	Chromosome	24.0	549930323	154	22928215	11	141	42.0			Antennarius maculatus	882753	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,7898,186623,41665,32443,1489341,186625,1489388,123365,123366,123367,123368,123369,1489872,1489922,8070,241818,241819,242978,882753	Actinopterygii	f	Eukaryota		Metazoa	Chordata	Actinopteri	Lophiiformes	Antennariidae	Antennarius	Antennarius maculatus	2759		33208	7711	186623	8070	241819	242978	882753	warty anglerfish		https://hgdownload.soe.ucsc.edu/hubs/GCA/013/358/685/GCA_013358685.1/genes/GCA_013358685.1_fAntMac1.pri.augustus.gtf.gz
	8005	GCA_013358815.1	True	Chromosome	26.0	589358956	89	25664172	10	52.97	42.5		GCF_013358815.1	Electrophorus electricus	8005	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,7898,186623,41665,32443,1489341,186625,186634,32519,186626,186628,8002,1489620,30771,8004,8005	Actinopterygii	f	Eukaryota		Metazoa	Chordata	Actinopteri	Gymnotiformes	Gymnotidae	Electrophorus	Electrophorus electricus	2759		33208	7711	186623	8002	30771	8004	8005	electric knifefish		https://hgdownload.soe.ucsc.edu/hubs/GCA/013/358/815/GCA_013358815.1/genes/GCA_013358815.1_fEleEle1.pri.augustus.gtf.gz
lycPyr6	2767082	GCA_014706295.1	True	Scaffold		1107771238	1695	74168823	6	70	43.0			Lycocorax pyrrhopterus	681192	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073808,3073809,9126,192204,9149,681191,681192,2767082	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Passeriformes	Paradisaeidae	Lycocorax	Lycocorax pyrrhopterus	2759		33208	7711	8782	9126	9149	681191	681192			https://hgdownload.soe.ucsc.edu/hubs/GCA/014/706/295/GCA_014706295.1/genes/GCA_014706295.1_ASM1470629v1.augustus.gtf.gz
	195821	GCA_014839685.1	True	Chromosome	24.0	867616482	32	39321252	11	58.8	38.5			Anableps anableps	195821	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,7898,186623,41665,32443,1489341,186625,1489388,123365,123366,123367,123368,123369,1489872,1489908,1489913,28738,8087,143026,143027,143028,195821	Actinopterygii	f	Eukaryota		Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Anablepidae	Anableps	Anableps anableps	2759		33208	7711	186623	28738	143026	143028	195821	four eyed fish		https://hgdownload.soe.ucsc.edu/hubs/GCA/014/839/685/GCA_014839685.1/genes/GCA_014839685.1_fAnaAna1.pri.augustus.gtf.gz
	73324	GCA_014839755.1	True	Chromosome	37.0	1045652180	176	72750092	5	72.07	42.0			Sylvia borin	73324	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073808,3073809,9126,2116661,36270,552881,43162,73324	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Passeriformes	Sylviidae	Sylvia	Sylvia borin	2759		33208	7711	8782	9126	36270	43162	73324			https://hgdownload.soe.ucsc.edu/hubs/GCA/014/839/755/GCA_014839755.1/genes/GCA_014839755.1_bSylBor1.pri.augustus.gtf.gz
	129108	GCA_014839995.1	True	Chromosome	24.0	736198484	409	28679447	12	62.8	41.5			Xenentodon cancila	129108	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,7898,186623,41665,32443,1489341,186625,1489388,123365,123366,123367,123368,123369,1489872,1489908,1489913,76071,123731,94935,129107,129108	Actinopterygii	f	Eukaryota		Metazoa	Chordata	Actinopteri	Beloniformes	Belonidae	Xenentodon	Xenentodon cancila	2759		33208	7711	186623	76071	94935	129107	129108	Asian needlefish		https://hgdownload.soe.ucsc.edu/hubs/GCA/014/839/995/GCA_014839995.1/genes/GCA_014839995.1_fXenCan1.pri.augustus.gtf.gz
	2700039	GCA_015852565.1	False	Chromosome	19.0	490782628	341	24617471	9	48	41.5			Branchiostoma floridae x Branchiostoma japonicum	2700039	1,131567,2759,33154,33208,6072,33213,33511,7711,7735,2682552,2682553,7736,7737,2700039	Leptocardii	k	Eukaryota		Metazoa	Chordata	Leptocardii	Amphioxiformes	Branchiostomatidae	Branchiostoma	Branchiostoma floridae x Branchiostoma japonicum	2759		33208	7711	2682552	2682553	7736	7737	2700039			https://hgdownload.soe.ucsc.edu/hubs/GCA/015/852/565/GCA_015852565.1/genes/GCA_015852565.1_bf_hap-2.augustus.gtf.gz
	9606	GCA_016695395.2	False	Chromosome	23.0	2902197670	949	150534096	8	73.27	41.0			Homo sapiens	9606	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314146,9443,376913,314293,9526,314295,9604,207598,9605,9606	Mammalia	m	Eukaryota		Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	2759		33208	7711	40674	9443	9604	9605	9606			https://hgdownload.soe.ucsc.edu/hubs/GCA/016/695/395/GCA_016695395.2/genes/GCA_016695395.2_mHomSap3.mat.augustus.gtf.gz
	9606	GCA_016700455.2	False	Chromosome	23.0	2744463177	994	142230338	8	73.27	41.0			Homo sapiens	9606	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314146,9443,376913,314293,9526,314295,9604,207598,9605,9606	Mammalia	m	Eukaryota		Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	2759		33208	7711	40674	9443	9604	9605	9606			https://hgdownload.soe.ucsc.edu/hubs/GCA/016/700/455/GCA_016700455.2/genes/GCA_016700455.2_mHomSap3.pat.augustus.gtf.gz
	57068	GCA_016904835.1	False	Chromosome	38.0	1077368553	205	40827287	8	65.46	42.5			Acanthisitta chloris	57068	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073808,3073809,9126,38633,57067,57068	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Passeriformes	Acanthisittidae	Acanthisitta	Acanthisitta chloris	2759		33208	7711	8782	9126	38633	57067	57068			https://hgdownload.soe.ucsc.edu/hubs/GCA/016/904/835/GCA_016904835.1/genes/GCA_016904835.1_bAcaChl1.pri.augustus.gtf.gz
	670352	GCA_017639485.1	True	Chromosome	38.0	1247746888	106	87527607	5	60	42.5			Pluvialis apricaria	670352	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,8906,8907,171272,670352	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria	2759		33208	7711	8782	8906	8907	171272	670352			https://hgdownload.soe.ucsc.edu/hubs/GCA/017/639/485/GCA_017639485.1/genes/GCA_017639485.1_bPluApr1.pri.augustus.gtf.gz
	52777	GCA_017639555.1	True	Chromosome	31.0	1239415939	152	85554746	5	88.32	42.0			Ciconia maguari	52777	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073812,8920,8926,8927,52777	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	Ciconia maguari	2759		33208	7711	8782	8920	8926	8927	52777			https://hgdownload.soe.ucsc.edu/hubs/GCA/017/639/555/GCA_017639555.1/genes/GCA_017639555.1_bCicMag1.pri.augustus.gtf.gz
	148594	GCA_017639645.1	False	Scaffold		1156765323	551	65156219	7	104.34	42.5			Falco naumanni	148594	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073808,3073809,8948,8949,8952,148594	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Falconiformes	Falconidae	Falco	Falco naumanni	2759		33208	7711	8782	8948	8949	8952	148594			https://hgdownload.soe.ucsc.edu/hubs/GCA/017/639/645/GCA_017639645.1/genes/GCA_017639645.1_bFalNau1.mat.augustus.gtf.gz
	946358	GCA_017639675.1	True	Chromosome	20.0	461946147	41	20392628	8	60	45.0			Aplochiton taeniatus	946358	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,7898,186623,41665,32443,1489341,186625,1489388,41705,51241,130264,130269,130267,66452,946358	Actinopterygii	f	Eukaryota		Metazoa	Chordata	Actinopteri	Galaxiiformes	Galaxiidae	Aplochiton	Aplochiton taeniatus	2759		33208	7711	186623	51241	130264	66452	946358			https://hgdownload.soe.ucsc.edu/hubs/GCA/017/639/675/GCA_017639675.1/genes/GCA_017639675.1_fAplTae1.pri.augustus.gtf.gz
	2700040	GCA_019207075.1	False	Chromosome	20.0	405532174	79	19726665	9	43	41.5			Branchiostoma floridae x Branchiostoma belcheri	2700040	1,131567,2759,33154,33208,6072,33213,33511,7711,7735,2682552,2682553,7736,7737,2700040	Leptocardii	k	Eukaryota		Metazoa	Chordata	Leptocardii	Amphioxiformes	Branchiostomatidae	Branchiostoma	Branchiostoma floridae x Branchiostoma belcheri	2759		33208	7711	2682552	2682553	7736	7737	2700040			https://hgdownload.soe.ucsc.edu/hubs/GCA/019/207/075/GCA_019207075.1/genes/GCA_019207075.1_Bb-hap.augustus.gtf.gz
	27706	GCA_019677235.1	False	Chromosome	23.0	877669248	202	37181689	11	100	41.0			Micropterus salmoides	27706	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,7898,186623,41665,32443,1489341,186625,1489388,123365,123366,123367,123368,123369,1489872,1489922,1489940,1545897,8180,27705,27706	Actinopterygii	f	Eukaryota		Metazoa	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus salmoides	2759		33208	7711	186623	1489940	8180	27705	27706	largemouth blackbass		https://hgdownload.soe.ucsc.edu/hubs/GCA/019/677/235/GCA_019677235.1/genes/GCA_019677235.1_HNU_Msal_1.0.augustus.gtf.gz
	390368	GCA_020510985.1	True	Chromosome	15.0	6032307556	512	435632707	7	98.18	44.5			Pholidichthys leucotaenia	390368	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,7898,186623,41665,32443,1489341,186625,1489388,123365,123366,123367,123368,123369,1489872,1489908,1489910,1489911,390366,390367,390368	Actinopterygii	f	Eukaryota		Metazoa	Chordata	Actinopteri	Cichliformes	Pholidichthyidae	Pholidichthys	Pholidichthys leucotaenia	2759		33208	7711	186623	1489911	390366	390367	390368			https://hgdownload.soe.ucsc.edu/hubs/GCA/020/510/985/GCA_020510985.1/genes/GCA_020510985.1_fPhoLeu1.pri.augustus.gtf.gz
	51337	GCA_020740715.1	False	Scaffold		2595216862	508	117185741	8	40	42.0			Jaculus jaculus	51337	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314146,314147,9989,1963758,1963761,30648,35737,48867,51337	Mammalia	m	Eukaryota		Metazoa	Chordata	Mammalia	Rodentia	Dipodidae	Jaculus	Jaculus jaculus	2759		33208	7711	40674	9989	30648	48867	51337			https://hgdownload.soe.ucsc.edu/hubs/GCA/020/740/715/GCA_020740715.1/genes/GCA_020740715.1_mJacJac1.pat.decon.augustus.gtf.gz
